step,value,hop,seed,variant,metric
570,2.9864253519917838e-05,hop0,42,full,Learning Rate
580,2.684766150196083e-05,hop0,42,full,Learning Rate
590,2.3831071302993223e-05,hop0,42,full,Learning Rate
600,2.0814479285036214e-05,hop0,42,full,Learning Rate
610,1.7797889086068608e-05,hop0,42,full,Learning Rate
620,1.4781297068111598e-05,hop0,42,full,Learning Rate
630,1.1764705959649291e-05,hop0,42,full,Learning Rate
640,8.748114851186983e-06,hop0,42,full,Learning Rate
650,5.731523287977325e-06,hop0,42,full,Learning Rate
660,2.714932179515017e-06,hop0,42,full,Learning Rate
10,35.90703582763672,hop0,42,full,Grad Norm
20,7.208047389984131,hop0,42,full,Grad Norm
30,8.48871898651123,hop0,42,full,Grad Norm
40,7.282341003417969,hop0,42,full,Grad Norm
50,7.188462257385254,hop0,42,full,Grad Norm
60,7.356479167938232,hop0,42,full,Grad Norm
70,10.250844955444336,hop0,42,full,Grad Norm
80,6.970887184143066,hop0,42,full,Grad Norm
90,6.72878885269165,hop0,42,full,Grad Norm
100,8.737530708312988,hop0,42,full,Grad Norm
110,11.574281692504883,hop0,42,full,Grad Norm
120,11.695860862731934,hop0,42,full,Grad Norm
130,12.305192947387695,hop0,42,full,Grad Norm
140,6.799422740936279,hop0,42,full,Grad Norm
150,7.937273979187012,hop0,42,full,Grad Norm
160,7.740946292877197,hop0,42,full,Grad Norm
170,7.010152816772461,hop0,42,full,Grad Norm
180,7.610581874847412,hop0,42,full,Grad Norm
190,9.107163429260254,hop0,42,full,Grad Norm
200,9.224016189575195,hop0,42,full,Grad Norm
210,11.685344696044922,hop0,42,full,Grad Norm
220,8.387810707092285,hop0,42,full,Grad Norm
230,10.16594123840332,hop0,42,full,Grad Norm
240,9.174389839172363,hop0,42,full,Grad Norm
250,9.037476539611816,hop0,42,full,Grad Norm
260,7.132457256317139,hop0,42,full,Grad Norm
270,8.509984016418457,hop0,42,full,Grad Norm
280,9.693527221679688,hop0,42,full,Grad Norm
290,8.02874755859375,hop0,42,full,Grad Norm
300,7.485897064208984,hop0,42,full,Grad Norm
310,6.962899208068848,hop0,42,full,Grad Norm
320,9.022795677185059,hop0,42,full,Grad Norm
330,9.406991958618164,hop0,42,full,Grad Norm
340,6.023674964904785,hop0,42,full,Grad Norm
350,8.044331550598145,hop0,42,full,Grad Norm
360,9.95145034790039,hop0,42,full,Grad Norm
370,7.418912410736084,hop0,42,full,Grad Norm
380,7.923612594604492,hop0,42,full,Grad Norm
390,7.837330341339111,hop0,42,full,Grad Norm
400,9.877245903015137,hop0,42,full,Grad Norm
410,7.209886074066162,hop0,42,full,Grad Norm
420,7.7715044021606445,hop0,42,full,Grad Norm
430,8.400004386901855,hop0,42,full,Grad Norm
440,7.981289863586426,hop0,42,full,Grad Norm
450,9.589404106140137,hop0,42,full,Grad Norm
460,7.463283538818359,hop0,42,full,Grad Norm
470,8.588591575622559,hop0,42,full,Grad Norm
480,9.365862846374512,hop0,42,full,Grad Norm
490,7.601930618286133,hop0,42,full,Grad Norm
500,8.787687301635742,hop0,42,full,Grad Norm
510,9.42057991027832,hop0,42,full,Grad Norm
520,7.070315837860107,hop0,42,full,Grad Norm
530,9.026331901550293,hop0,42,full,Grad Norm
540,7.76868200302124,hop0,42,full,Grad Norm
