hop,hop_label,hop_index,n_samples,mean_target_accuracy,mean_target_correct_at_dpoints,mean_matrix_density
hop0,Hop 0,0,27633,0.8366177045787596,0.5639028844080624,0.8370867235952715
hop1,Hop 1,1,29041,0.8645207373310817,0.5567387421916213,0.866026662316841
hop2,Hop 2,2,29492,0.8615003528181691,0.5622859365557313,0.8626845603263013
hop3,Hop 3,3,29577,0.8545923943335071,0.5641273333755068,0.855593045668518
hop4,Hop 4,4,29673,0.8475368391675283,0.5619850235145752,0.8485631934425079
