hop,hop_label,hop_index,seed,n_samples,total_dpoints,mean_dpoints_per_sample,std_dpoints,mean_position,median_position,target_correct_at_dpoints,target_accuracy,matrix_density,samples_with_0,samples_with_1,samples_with_2,samples_with_3plus,pct_samples_with_0,pct_samples_with_1,pct_samples_with_2,pct_samples_with_3plus
hop0,Hop 0,0,42,27633,59113,2.139217602142366,1.7078049598823575,16.40480253038233,16.183056304934297,0.5639028844080624,0.8366177045787596,0.8370867235952716,4651,6862,6208,9912,0.16831324865197408,0.2483262765533963,0.22465892230304346,0.35870155249158614
hop1,Hop 1,1,42,29041,66387,2.285975000860852,1.8288698886157033,16.82054448306817,16.57026937968531,0.5567387421916213,0.8645207373310817,0.866026662316841,4763,6742,6138,11398,0.1640095038049654,0.23215454013291553,0.21135635825212631,0.39247959780999275
hop2,Hop 2,2,42,29492,64092,2.1731995117319953,1.7689167277023095,16.839543103738336,16.608799538600973,0.5622859365557314,0.8615003528181691,0.8626845603263013,5218,7083,6329,10862,0.17692933676929337,0.24016682490166824,0.21460056964600568,0.3683032686830327
hop3,Hop 3,3,42,29577,61638,2.0839841768942082,1.7175582079650162,16.982631987786004,16.753321155762205,0.5641273333755068,0.8545923943335071,0.8555930456685179,5489,7322,6524,10242,0.18558339250092978,0.24755722351827433,0.22057679954018325,0.34628258444061266
hop4,Hop 4,4,42,29673,60098,2.025342904323796,1.6830133017275117,17.002209419032607,16.806870356457132,0.5619850235145752,0.8475368391675283,0.8485631934425077,5715,7496,6566,9896,0.19259933272672125,0.25262022714252014,0.22127860344420855,0.33350183668655003
