hop,hop_label,hop_index,n_positions,mean_position,median_position,std_position,min_position,max_position,ks_stat_vs_previous,ks_pvalue_vs_previous,mw_stat_vs_previous,mw_pvalue_vs_previous
hop0,Hop 0,0,59113,17.217853940757532,16.0,12.870853082189976,0.0,49.0,,,,
hop1,Hop 1,1,66387,17.61727446638649,16.0,12.806310645475381,0.0,49.0,0.018677023247026386,6.613453266166719e-10,1921217449.0,1.6040443907681178e-10
hop2,Hop 2,2,64092,17.620654683891907,16.0,12.83020489471536,0.0,49.0,0.004720861164805024,0.4601297046761974,2127252337.5,0.9782364873272037
hop3,Hop 3,3,61638,17.686767902917033,16.0,12.83628236713053,0.0,49.0,0.003614023606275718,0.8049617490787335,1968973588.5,0.32894608000174785
hop4,Hop 4,4,60098,17.69208625911012,16.0,12.792252739061283,0.0,49.0,0.0028539997906509296,0.9647073941618252,1850332579.5,0.765484869429135
