hop,hop_label,hop_index,n_seeds,n_samples_total,total_dpoints_mean,total_dpoints_ci_lower,total_dpoints_ci_upper,total_dpoints_ci_count,mean_dpoints_per_sample_mean,mean_dpoints_per_sample_ci_lower,mean_dpoints_per_sample_ci_upper,mean_dpoints_per_sample_ci_count,std_dpoints_mean,std_dpoints_ci_lower,std_dpoints_ci_upper,std_dpoints_ci_count,mean_position_mean,mean_position_ci_lower,mean_position_ci_upper,mean_position_ci_count,median_position_mean,median_position_ci_lower,median_position_ci_upper,median_position_ci_count,target_correct_at_dpoints_mean,target_correct_at_dpoints_ci_lower,target_correct_at_dpoints_ci_upper,target_correct_at_dpoints_ci_count,target_accuracy_mean,target_accuracy_ci_lower,target_accuracy_ci_upper,target_accuracy_ci_count,matrix_density_mean,matrix_density_ci_lower,matrix_density_ci_upper,matrix_density_ci_count,pct_samples_with_0_mean,pct_samples_with_0_ci_lower,pct_samples_with_0_ci_upper,pct_samples_with_0_ci_count,pct_samples_with_1_mean,pct_samples_with_1_ci_lower,pct_samples_with_1_ci_upper,pct_samples_with_1_ci_count,pct_samples_with_2_mean,pct_samples_with_2_ci_lower,pct_samples_with_2_ci_upper,pct_samples_with_2_ci_count,pct_samples_with_3plus_mean,pct_samples_with_3plus_ci_lower,pct_samples_with_3plus_ci_upper,pct_samples_with_3plus_ci_count
hop0,Hop 0,0,1,27633,59113.0,59113.0,59113.0,1,2.139217602142366,2.139217602142366,2.139217602142366,1,1.7078049598823575,1.7078049598823575,1.7078049598823575,1,16.40480253038233,16.40480253038233,16.40480253038233,1,16.183056304934297,16.183056304934297,16.183056304934297,1,0.5639028844080624,0.5639028844080624,0.5639028844080624,1,0.8366177045787596,0.8366177045787596,0.8366177045787596,1,0.8370867235952716,0.8370867235952716,0.8370867235952716,1,0.16831324865197408,0.16831324865197408,0.16831324865197408,1,0.2483262765533963,0.2483262765533963,0.2483262765533963,1,0.22465892230304346,0.22465892230304346,0.22465892230304346,1,0.35870155249158614,0.35870155249158614,0.35870155249158614,1
hop1,Hop 1,1,1,29041,66387.0,66387.0,66387.0,1,2.285975000860852,2.285975000860852,2.285975000860852,1,1.8288698886157033,1.8288698886157033,1.8288698886157033,1,16.82054448306817,16.82054448306817,16.82054448306817,1,16.57026937968531,16.57026937968531,16.57026937968531,1,0.5567387421916213,0.5567387421916213,0.5567387421916213,1,0.8645207373310817,0.8645207373310817,0.8645207373310817,1,0.866026662316841,0.866026662316841,0.866026662316841,1,0.1640095038049654,0.1640095038049654,0.1640095038049654,1,0.23215454013291553,0.23215454013291553,0.23215454013291553,1,0.21135635825212631,0.21135635825212631,0.21135635825212631,1,0.39247959780999275,0.39247959780999275,0.39247959780999275,1
hop2,Hop 2,2,1,29492,64092.0,64092.0,64092.0,1,2.1731995117319953,2.1731995117319953,2.1731995117319953,1,1.7689167277023095,1.7689167277023095,1.7689167277023095,1,16.839543103738336,16.839543103738336,16.839543103738336,1,16.608799538600973,16.608799538600973,16.608799538600973,1,0.5622859365557314,0.5622859365557314,0.5622859365557314,1,0.8615003528181691,0.8615003528181691,0.8615003528181691,1,0.8626845603263013,0.8626845603263013,0.8626845603263013,1,0.17692933676929337,0.17692933676929337,0.17692933676929337,1,0.24016682490166824,0.24016682490166824,0.24016682490166824,1,0.21460056964600568,0.21460056964600568,0.21460056964600568,1,0.3683032686830327,0.3683032686830327,0.3683032686830327,1
hop3,Hop 3,3,1,29577,61638.0,61638.0,61638.0,1,2.0839841768942082,2.0839841768942082,2.0839841768942082,1,1.7175582079650162,1.7175582079650162,1.7175582079650162,1,16.982631987786004,16.982631987786004,16.982631987786004,1,16.753321155762205,16.753321155762205,16.753321155762205,1,0.5641273333755068,0.5641273333755068,0.5641273333755068,1,0.8545923943335071,0.8545923943335071,0.8545923943335071,1,0.8555930456685179,0.8555930456685179,0.8555930456685179,1,0.18558339250092978,0.18558339250092978,0.18558339250092978,1,0.24755722351827433,0.24755722351827433,0.24755722351827433,1,0.22057679954018325,0.22057679954018325,0.22057679954018325,1,0.34628258444061266,0.34628258444061266,0.34628258444061266,1
hop4,Hop 4,4,1,29673,60098.0,60098.0,60098.0,1,2.025342904323796,2.025342904323796,2.025342904323796,1,1.6830133017275117,1.6830133017275117,1.6830133017275117,1,17.002209419032607,17.002209419032607,17.002209419032607,1,16.806870356457132,16.806870356457132,16.806870356457132,1,0.5619850235145752,0.5619850235145752,0.5619850235145752,1,0.8475368391675283,0.8475368391675283,0.8475368391675283,1,0.8485631934425077,0.8485631934425077,0.8485631934425077,1,0.19259933272672125,0.19259933272672125,0.19259933272672125,1,0.25262022714252014,0.25262022714252014,0.25262022714252014,1,0.22127860344420855,0.22127860344420855,0.22127860344420855,1,0.33350183668655003,0.33350183668655003,0.33350183668655003,1
