hop,mean_uniqueness,std_uniqueness
hop0,0.0009001032720902596,0.004895638990950119
hop1,0.0009482835159059219,0.004992836572129249
hop2,0.0009265798013217008,0.004942186799758634
hop3,0.0009804449545912186,0.005206313345924832
hop4,0.000882895078764434,0.004854721100499755
hop5,0.0008644237128271894,0.004826328563631774
hop6,0.0008650806689748361,0.0049400232431514235
hop7,0.0008891900602458786,0.004981181120491063
hop8,0.0009106470064908952,0.00501585223894078
hop9,0.0009043239646590967,0.004965019865728671
