hop,mean_relative_position,std_relative_position
hop0,0.3959287257979805,0.222741529030755
hop1,0.3940067852861637,0.21615548658898529
hop2,0.39456644853261247,0.2154433212567423
hop3,0.3915313208557608,0.21717139322201745
hop4,0.3935755962094784,0.21621163074517205
hop5,0.3921984054324098,0.2147080264081821
hop6,0.39025804127056335,0.2148586667288178
hop7,0.38925647866845337,0.21483981831453305
hop8,0.388521313851812,0.21451002446674353
hop9,0.3896434713142206,0.21534388815473257
