hop,n_samples,mean_divergence_count,std_divergence_count,mean_valid_tokens,max_valid_tokens,decision_point_mismatches,representative_sample_index
hop0,8693,0.37800529161394225,0.6503100796511458,44.62820660301392,52,51856,43
hop1,1185,0.30548523206751055,0.5778968932687122,44.61181434599156,52,6933,737
hop2,19,0.3684210526315789,0.7608859102526822,44.21052631578947,50,64,0
hop3,11479,0.13590033975084936,0.3773047857840658,46.187385660771845,52,39200,7388
hop4,10291,0.13059955300748227,0.3718043887247955,46.194733262073655,52,33310,6632
hop5,7020,0.13660968660968661,0.3766952583239211,48.0,52,20417,4501
hop6,747,0.12315930388219545,0.3486268430007087,46.99598393574297,52,1886,486
