hop,mean,std,median,min,max
hop0,0.37800529161394225,0.650310079651146,0.0,0,5
hop1,0.30548523206751055,0.5778968932687123,0.0,0,4
hop2,0.3684210526315789,0.7608859102526822,0.0,0,3
hop3,0.13590033975084936,0.37730478578406523,0.0,0,3
hop4,0.13059955300748227,0.37180438872479554,0.0,0,4
hop5,0.13660968660968661,0.3766952583239205,0.0,0,3
hop6,0.12315930388219545,0.3486268430007085,0.0,0,2
