hop,mean_log_p_target,std_log_p_target,mean_p_target
1,-12.58,2.7068212445597513,3.4401344604594294e-06
2,-12.48625,2.74933344194552,3.778248558583471e-06
3,-12.569375,2.728089490032356,3.4768807581160503e-06
4,-12.483125,2.7169405616658233,3.7900740530405256e-06
5,-12.494375,2.753929649723282,3.7476746636890365e-06
6,-12.649375,2.7345538512936622,3.20956546225409e-06
7,-12.475,2.7294473456177903,3.820993846282589e-06
8,-12.551875,2.808063236578728,3.5382616880353886e-06
9,-12.41125,2.7590289279019893,4.072514239399825e-06
