hop,run_key,run_label,dataset_dir,checkpoint_group,stats_path,metric_name,metric_value
1,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop1_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/stats.json,lower_bound,0.037017926621297395
1,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop1_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/stats.json,upper_bound,0.0953820733787026
1,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop1_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/stats.json,count,50.0
1,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop1_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/stats.json,confidence,0.95
2,lora,lora-8,filtered-dataset-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/stats.json,mean,0.011500000000000002
2,lora,lora-8,filtered-dataset-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/stats.json,margin_error,0.007393401860855502
2,lora,lora-8,filtered-dataset-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/stats.json,lower_bound,0.004106598139144499
2,lora,lora-8,filtered-dataset-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/stats.json,upper_bound,0.018893401860855502
2,lora,lora-8,filtered-dataset-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/stats.json,count,50.0
2,lora,lora-8,filtered-dataset-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/stats.json,confidence,0.95
2,lora,lora-8,filtered-dataset-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/stats.json,mean,0.09390000000000001
2,lora,lora-8,filtered-dataset-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/stats.json,margin_error,0.03166083220651735
2,lora,lora-8,filtered-dataset-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/stats.json,lower_bound,0.06223916779348266
2,lora,lora-8,filtered-dataset-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/stats.json,upper_bound,0.12556083220651737
2,lora,lora-8,filtered-dataset-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/stats.json,count,50.0
2,lora,lora-8,filtered-dataset-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/checkpoint-668/stats.json,confidence,0.95
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/stats.json,mean,0.012200000000000003
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/stats.json,margin_error,0.006609064888836838
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/stats.json,lower_bound,0.005590935111163165
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/stats.json,upper_bound,0.01880906488883684
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/stats.json,count,50.0
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/base/stats.json,confidence,0.95
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/stats.json,mean,0.0473
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/stats.json,margin_error,0.01980300107511246
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/stats.json,lower_bound,0.027496998924887543
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/stats.json,upper_bound,0.06710300107511247
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/stats.json,count,50.0
2,dpoints_only,dpoints-only,filtered-dataset-dpoints-only-lora-8-seed-42,final,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop2_noprompt/seed-42/filtered-dataset-dpoints-only-lora-8-seed-42/eval-owl/checkpoint-552/stats.json,confidence,0.95
3,lora,lora-8,filtered-dataset-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/stats.json,mean,0.0102
3,lora,lora-8,filtered-dataset-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/stats.json,margin_error,0.005634509492854476
3,lora,lora-8,filtered-dataset-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/stats.json,lower_bound,0.0045654905071455245
3,lora,lora-8,filtered-dataset-lora-8-seed-42,base,/home/abasso_aims_ac_za/divergence-tokens/workspace/multihop/qwen/owl/hop3_noprompt/seed-42/filtered-dataset-lora-8-seed-42/eval-owl/base/stats.json,upper_bound,0.015834509492854476
