hop,hop_label,hop_index,seed,n_samples,total_dpoints,mean_dpoints_per_sample,std_dpoints,mean_position,median_position,target_correct_at_dpoints,target_accuracy,matrix_density,samples_with_0,samples_with_1,samples_with_2,samples_with_3plus,pct_samples_with_0,pct_samples_with_1,pct_samples_with_2,pct_samples_with_3plus
hop0,Hop 0,0,42,8693,55142,6.3432646957321985,2.9890446182449466,20.2637379622095,19.614886731391586,0.6133921950729774,0.8278454802954648,0.8288550407246477,41,244,480,7928,0.004716438513746693,0.02806856091107788,0.055216841136546645,0.9119981594386288
hop1,Hop 1,1,42,1185,7295,6.156118143459915,2.7923819725504835,19.793773348035437,19.04156064461408,0.6358090359362624,0.7980037343469157,0.7962267525362595,6,36,57,1086,0.005063291139240506,0.030379746835443037,0.04810126582278481,0.9164556962025316
hop2,Hop 2,2,42,19,71,3.736842105263158,2.5569535967448513,23.26203703703704,22.22222222222222,0.6191358024691358,0.8199781672374741,0.8240883784940267,1,4,2,12,0.05263157894736842,0.21052631578947367,0.10526315789473684,0.631578947368421
hop3,Hop 3,3,42,11479,40760,3.550831954002962,2.0939363821870853,22.38561870501498,22.282330929999087,0.6842103350089113,0.7323841290597239,0.7290641035881416,522,1350,2052,7555,0.04547434445509191,0.11760606324592734,0.17876121613380958,0.6581583761651711
hop4,Hop 4,4,42,10291,34654,3.367408415120008,2.054217231372278,22.652175033221724,22.523858388917393,0.688412900593506,0.7124552940338397,0.7083085320896332,546,1341,1954,6450,0.05305606840928967,0.13030803614809056,0.18987464775046156,0.6267612476921582
hop5,Hop 5,5,42,7020,21376,3.045014245014245,1.914535825782755,23.560234555945897,23.408356206160416,0.6725064932864566,0.6886371547066634,0.6856881401046659,462,1107,1463,3988,0.06581196581196581,0.1576923076923077,0.2084045584045584,0.5680911680911681
hop6,Hop 6,6,42,747,1978,2.647925033467202,1.7205602163770541,21.54853861971766,21.355167394468705,0.692332663293362,0.6288929194541784,0.6252314129872266,60,157,169,361,0.08032128514056225,0.2101740294511379,0.22623828647925034,0.48326639892904955
