hop,hop_label,hop_index,n_samples,mean_target_accuracy,mean_target_correct_at_dpoints,mean_matrix_density
hop0,Hop 0,0,8693,0.8278454802954647,0.6133921950729774,0.8288550407246478
hop1,Hop 1,1,1185,0.7980037343469157,0.6358090359362624,0.7962267525362595
hop2,Hop 2,2,19,0.8199781672374741,0.6191358024691358,0.8240883784940267
hop3,Hop 3,3,11479,0.7323841290597238,0.6842103350089113,0.7290641035881416
hop4,Hop 4,4,10291,0.7124552940338396,0.688412900593506,0.7083085320896332
hop5,Hop 5,5,7020,0.6886371547066636,0.6725064932864566,0.6856881401046658
hop6,Hop 6,6,747,0.6288929194541784,0.692332663293362,0.6252314129872267
