hop,hop_label,hop_index,n_seeds,n_samples_total,total_dpoints_mean,total_dpoints_ci_lower,total_dpoints_ci_upper,total_dpoints_ci_count,mean_dpoints_per_sample_mean,mean_dpoints_per_sample_ci_lower,mean_dpoints_per_sample_ci_upper,mean_dpoints_per_sample_ci_count,std_dpoints_mean,std_dpoints_ci_lower,std_dpoints_ci_upper,std_dpoints_ci_count,mean_position_mean,mean_position_ci_lower,mean_position_ci_upper,mean_position_ci_count,median_position_mean,median_position_ci_lower,median_position_ci_upper,median_position_ci_count,target_correct_at_dpoints_mean,target_correct_at_dpoints_ci_lower,target_correct_at_dpoints_ci_upper,target_correct_at_dpoints_ci_count,target_accuracy_mean,target_accuracy_ci_lower,target_accuracy_ci_upper,target_accuracy_ci_count,matrix_density_mean,matrix_density_ci_lower,matrix_density_ci_upper,matrix_density_ci_count,pct_samples_with_0_mean,pct_samples_with_0_ci_lower,pct_samples_with_0_ci_upper,pct_samples_with_0_ci_count,pct_samples_with_1_mean,pct_samples_with_1_ci_lower,pct_samples_with_1_ci_upper,pct_samples_with_1_ci_count,pct_samples_with_2_mean,pct_samples_with_2_ci_lower,pct_samples_with_2_ci_upper,pct_samples_with_2_ci_count,pct_samples_with_3plus_mean,pct_samples_with_3plus_ci_lower,pct_samples_with_3plus_ci_upper,pct_samples_with_3plus_ci_count
hop0,Hop 0,0,1,8693,55142.0,55142.0,55142.0,1,6.3432646957321985,6.3432646957321985,6.3432646957321985,1,2.9890446182449466,2.9890446182449466,2.9890446182449466,1,20.2637379622095,20.2637379622095,20.2637379622095,1,19.614886731391586,19.614886731391586,19.614886731391586,1,0.6133921950729774,0.6133921950729774,0.6133921950729774,1,0.8278454802954648,0.8278454802954648,0.8278454802954648,1,0.8288550407246477,0.8288550407246477,0.8288550407246477,1,0.004716438513746693,0.004716438513746693,0.004716438513746693,1,0.02806856091107788,0.02806856091107788,0.02806856091107788,1,0.055216841136546645,0.055216841136546645,0.055216841136546645,1,0.9119981594386288,0.9119981594386288,0.9119981594386288,1
hop1,Hop 1,1,1,1185,7295.0,7295.0,7295.0,1,6.156118143459915,6.156118143459915,6.156118143459915,1,2.7923819725504835,2.7923819725504835,2.7923819725504835,1,19.793773348035437,19.793773348035437,19.793773348035437,1,19.04156064461408,19.04156064461408,19.04156064461408,1,0.6358090359362624,0.6358090359362624,0.6358090359362624,1,0.7980037343469157,0.7980037343469157,0.7980037343469157,1,0.7962267525362595,0.7962267525362595,0.7962267525362595,1,0.005063291139240506,0.005063291139240506,0.005063291139240506,1,0.030379746835443037,0.030379746835443037,0.030379746835443037,1,0.04810126582278481,0.04810126582278481,0.04810126582278481,1,0.9164556962025316,0.9164556962025316,0.9164556962025316,1
hop2,Hop 2,2,1,19,71.0,71.0,71.0,1,3.736842105263158,3.736842105263158,3.736842105263158,1,2.5569535967448513,2.5569535967448513,2.5569535967448513,1,23.26203703703704,23.26203703703704,23.26203703703704,1,22.22222222222222,22.22222222222222,22.22222222222222,1,0.6191358024691358,0.6191358024691358,0.6191358024691358,1,0.8199781672374741,0.8199781672374741,0.8199781672374741,1,0.8240883784940267,0.8240883784940267,0.8240883784940267,1,0.05263157894736842,0.05263157894736842,0.05263157894736842,1,0.21052631578947367,0.21052631578947367,0.21052631578947367,1,0.10526315789473684,0.10526315789473684,0.10526315789473684,1,0.631578947368421,0.631578947368421,0.631578947368421,1
hop3,Hop 3,3,1,11479,40760.0,40760.0,40760.0,1,3.550831954002962,3.550831954002962,3.550831954002962,1,2.0939363821870853,2.0939363821870853,2.0939363821870853,1,22.38561870501498,22.38561870501498,22.38561870501498,1,22.282330929999087,22.282330929999087,22.282330929999087,1,0.6842103350089113,0.6842103350089113,0.6842103350089113,1,0.7323841290597239,0.7323841290597239,0.7323841290597239,1,0.7290641035881416,0.7290641035881416,0.7290641035881416,1,0.04547434445509191,0.04547434445509191,0.04547434445509191,1,0.11760606324592734,0.11760606324592734,0.11760606324592734,1,0.17876121613380958,0.17876121613380958,0.17876121613380958,1,0.6581583761651711,0.6581583761651711,0.6581583761651711,1
hop4,Hop 4,4,1,10291,34654.0,34654.0,34654.0,1,3.367408415120008,3.367408415120008,3.367408415120008,1,2.054217231372278,2.054217231372278,2.054217231372278,1,22.652175033221724,22.652175033221724,22.652175033221724,1,22.523858388917393,22.523858388917393,22.523858388917393,1,0.688412900593506,0.688412900593506,0.688412900593506,1,0.7124552940338397,0.7124552940338397,0.7124552940338397,1,0.7083085320896332,0.7083085320896332,0.7083085320896332,1,0.05305606840928967,0.05305606840928967,0.05305606840928967,1,0.13030803614809056,0.13030803614809056,0.13030803614809056,1,0.18987464775046156,0.18987464775046156,0.18987464775046156,1,0.6267612476921582,0.6267612476921582,0.6267612476921582,1
hop5,Hop 5,5,1,7020,21376.0,21376.0,21376.0,1,3.045014245014245,3.045014245014245,3.045014245014245,1,1.914535825782755,1.914535825782755,1.914535825782755,1,23.560234555945897,23.560234555945897,23.560234555945897,1,23.408356206160416,23.408356206160416,23.408356206160416,1,0.6725064932864566,0.6725064932864566,0.6725064932864566,1,0.6886371547066634,0.6886371547066634,0.6886371547066634,1,0.6856881401046659,0.6856881401046659,0.6856881401046659,1,0.06581196581196581,0.06581196581196581,0.06581196581196581,1,0.1576923076923077,0.1576923076923077,0.1576923076923077,1,0.2084045584045584,0.2084045584045584,0.2084045584045584,1,0.5680911680911681,0.5680911680911681,0.5680911680911681,1
hop6,Hop 6,6,1,747,1978.0,1978.0,1978.0,1,2.647925033467202,2.647925033467202,2.647925033467202,1,1.7205602163770541,1.7205602163770541,1.7205602163770541,1,21.54853861971766,21.54853861971766,21.54853861971766,1,21.355167394468705,21.355167394468705,21.355167394468705,1,0.692332663293362,0.692332663293362,0.692332663293362,1,0.6288929194541784,0.6288929194541784,0.6288929194541784,1,0.6252314129872266,0.6252314129872266,0.6252314129872266,1,0.08032128514056225,0.08032128514056225,0.08032128514056225,1,0.2101740294511379,0.2101740294511379,0.2101740294511379,1,0.22623828647925034,0.22623828647925034,0.22623828647925034,1,0.48326639892904955,0.48326639892904955,0.48326639892904955,1
