hop,hop_label,hop_index,n_positions,mean_position,median_position,std_position,min_position,max_position,ks_stat_vs_previous,ks_pvalue_vs_previous,mw_stat_vs_previous,mw_pvalue_vs_previous
hop0,Hop 0,0,55142,20.15690399332632,20.0,14.377153220082521,0.0,51.0,,,,
hop1,Hop 1,1,7295,19.925565455791638,18.0,13.965224652490525,0.0,51.0,0.017387628710312852,0.04017941097433442,202269534.0,0.43086885934770636
hop2,Hop 2,2,71,21.676056338028168,22.0,14.174196523348156,0.0,49.0,0.07917829113129772,0.7396681057095068,240085.0,0.2893177217182946
hop3,Hop 3,3,40760,22.417615309126596,22.0,14.671113622389878,0.0,51.0,0.0629925776444733,0.9238757082096319,1408487.5,0.6979926112141116
hop4,Hop 4,4,34654,22.61179084665551,22.0,14.841284051520837,0.0,51.0,0.011128085620625394,0.019193628596006974,701217174.5,0.09116348978248424
hop5,Hop 5,5,21376,23.43333645209581,22.0,15.38887120399231,0.0,51.0,0.0453426548170468,4.65244790696868e-24,359450871.0,4.108128664088787e-09
hop6,Hop 6,6,1978,22.22548028311426,21.0,15.207541386417162,0.0,49.0,0.04368567907158383,0.0019369827567454882,22079848.0,0.0010579039922199787
