step,value,hop,seed,variant,metric
560,3.288084553787485e-05,hop0,42,full,Learning Rate
570,2.9864253519917838e-05,hop0,42,full,Learning Rate
580,2.684766150196083e-05,hop0,42,full,Learning Rate
590,2.3831071302993223e-05,hop0,42,full,Learning Rate
600,2.0814479285036214e-05,hop0,42,full,Learning Rate
610,1.7797889086068608e-05,hop0,42,full,Learning Rate
620,1.4781297068111598e-05,hop0,42,full,Learning Rate
630,1.1764705959649291e-05,hop0,42,full,Learning Rate
640,8.748114851186983e-06,hop0,42,full,Learning Rate
650,5.731523287977325e-06,hop0,42,full,Learning Rate
660,2.714932179515017e-06,hop0,42,full,Learning Rate
10,0.44389209151268005,hop0,42,full,Grad Norm
20,0.27733153104782104,hop0,42,full,Grad Norm
30,0.27507686614990234,hop0,42,full,Grad Norm
40,0.25681421160697937,hop0,42,full,Grad Norm
50,0.289734423160553,hop0,42,full,Grad Norm
60,0.2793065309524536,hop0,42,full,Grad Norm
70,0.2816340923309326,hop0,42,full,Grad Norm
80,0.279595285654068,hop0,42,full,Grad Norm
90,0.27595946192741394,hop0,42,full,Grad Norm
100,0.2755492031574249,hop0,42,full,Grad Norm
110,0.28851789236068726,hop0,42,full,Grad Norm
120,0.2649591565132141,hop0,42,full,Grad Norm
130,0.26498469710350037,hop0,42,full,Grad Norm
140,0.31000664830207825,hop0,42,full,Grad Norm
150,0.2573251724243164,hop0,42,full,Grad Norm
160,0.2609420418739319,hop0,42,full,Grad Norm
170,0.3049958348274231,hop0,42,full,Grad Norm
180,0.31427669525146484,hop0,42,full,Grad Norm
190,0.42762625217437744,hop0,42,full,Grad Norm
200,0.30508679151535034,hop0,42,full,Grad Norm
210,0.33520057797431946,hop0,42,full,Grad Norm
220,0.3077327311038971,hop0,42,full,Grad Norm
230,0.3689841628074646,hop0,42,full,Grad Norm
240,0.3054896593093872,hop0,42,full,Grad Norm
250,0.32905077934265137,hop0,42,full,Grad Norm
260,0.3379825949668884,hop0,42,full,Grad Norm
270,0.31609535217285156,hop0,42,full,Grad Norm
280,0.350852906703949,hop0,42,full,Grad Norm
290,0.34031984210014343,hop0,42,full,Grad Norm
300,0.3402447998523712,hop0,42,full,Grad Norm
310,0.3682178556919098,hop0,42,full,Grad Norm
320,0.35551151633262634,hop0,42,full,Grad Norm
330,0.36252573132514954,hop0,42,full,Grad Norm
340,0.33911794424057007,hop0,42,full,Grad Norm
350,0.3576773405075073,hop0,42,full,Grad Norm
360,0.5119442939758301,hop0,42,full,Grad Norm
370,0.5006793737411499,hop0,42,full,Grad Norm
380,0.4555589258670807,hop0,42,full,Grad Norm
390,0.6089614629745483,hop0,42,full,Grad Norm
400,0.5473926663398743,hop0,42,full,Grad Norm
410,0.5467119216918945,hop0,42,full,Grad Norm
420,0.5794534683227539,hop0,42,full,Grad Norm
430,0.5167192816734314,hop0,42,full,Grad Norm
440,0.6169956922531128,hop0,42,full,Grad Norm
450,0.5396356582641602,hop0,42,full,Grad Norm
460,0.5857274532318115,hop0,42,full,Grad Norm
470,0.5475888252258301,hop0,42,full,Grad Norm
480,0.5616891384124756,hop0,42,full,Grad Norm
490,0.5925493836402893,hop0,42,full,Grad Norm
500,0.6293913125991821,hop0,42,full,Grad Norm
510,0.5986707210540771,hop0,42,full,Grad Norm
520,0.6707597970962524,hop0,42,full,Grad Norm
530,0.5860752463340759,hop0,42,full,Grad Norm
540,0.6406812071800232,hop0,42,full,Grad Norm
550,0.7298781275749207,hop0,42,full,Grad Norm
560,0.7882538437843323,hop0,42,full,Grad Norm
570,0.7315844893455505,hop0,42,full,Grad Norm
580,0.7289940714836121,hop0,42,full,Grad Norm
590,0.6939319372177124,hop0,42,full,Grad Norm
600,0.643564760684967,hop0,42,full,Grad Norm
610,0.7045305371284485,hop0,42,full,Grad Norm
620,0.7714687585830688,hop0,42,full,Grad Norm
630,0.8600988984107971,hop0,42,full,Grad Norm
640,0.685843825340271,hop0,42,full,Grad Norm
650,0.7292897701263428,hop0,42,full,Grad Norm
660,0.7073438763618469,hop0,42,full,Grad Norm
10,0.798785924911499,hop0,42,full,Token Accuracy
20,0.8323206305503845,hop0,42,full,Token Accuracy
30,0.8447535634040833,hop0,42,full,Token Accuracy
40,0.8439446687698364,hop0,42,full,Token Accuracy
50,0.8432573080062866,hop0,42,full,Token Accuracy
60,0.8455176949501038,hop0,42,full,Token Accuracy
70,0.845125675201416,hop0,42,full,Token Accuracy
80,0.8465525507926941,hop0,42,full,Token Accuracy
90,0.8425785899162292,hop0,42,full,Token Accuracy
100,0.8487255573272705,hop0,42,full,Token Accuracy
110,0.8459795713424683,hop0,42,full,Token Accuracy
120,0.8470324873924255,hop0,42,full,Token Accuracy
130,0.8440375924110413,hop0,42,full,Token Accuracy
140,0.850681722164154,hop0,42,full,Token Accuracy
150,0.8485378623008728,hop0,42,full,Token Accuracy
160,0.8477668166160583,hop0,42,full,Token Accuracy
170,0.853962779045105,hop0,42,full,Token Accuracy
180,0.8536236882209778,hop0,42,full,Token Accuracy
190,0.8630113005638123,hop0,42,full,Token Accuracy
200,0.8612791895866394,hop0,42,full,Token Accuracy
210,0.8561206459999084,hop0,42,full,Token Accuracy
220,0.8617420792579651,hop0,42,full,Token Accuracy
230,0.8580812215805054,hop0,42,full,Token Accuracy
240,0.862258791923523,hop0,42,full,Token Accuracy
250,0.8623952269554138,hop0,42,full,Token Accuracy
260,0.8616806864738464,hop0,42,full,Token Accuracy
270,0.8641394972801208,hop0,42,full,Token Accuracy
280,0.8637242317199707,hop0,42,full,Token Accuracy
290,0.8553427457809448,hop0,42,full,Token Accuracy
300,0.8595981001853943,hop0,42,full,Token Accuracy
310,0.862865149974823,hop0,42,full,Token Accuracy
320,0.8650608658790588,hop0,42,full,Token Accuracy
330,0.8558849096298218,hop0,42,full,Token Accuracy
340,0.8690981268882751,hop0,42,full,Token Accuracy
350,0.8886924982070923,hop0,42,full,Token Accuracy
360,0.8793296813964844,hop0,42,full,Token Accuracy
370,0.8809086680412292,hop0,42,full,Token Accuracy
380,0.8859983682632446,hop0,42,full,Token Accuracy
390,0.8853757381439209,hop0,42,full,Token Accuracy
400,0.8865206837654114,hop0,42,full,Token Accuracy
410,0.884884238243103,hop0,42,full,Token Accuracy
420,0.8859957456588745,hop0,42,full,Token Accuracy
430,0.8799059987068176,hop0,42,full,Token Accuracy
440,0.8885914087295532,hop0,42,full,Token Accuracy
450,0.8924582600593567,hop0,42,full,Token Accuracy
460,0.88767409324646,hop0,42,full,Token Accuracy
470,0.8883486390113831,hop0,42,full,Token Accuracy
480,0.8818527460098267,hop0,42,full,Token Accuracy
490,0.8873243927955627,hop0,42,full,Token Accuracy
500,0.8862372636795044,hop0,42,full,Token Accuracy
510,0.9096291661262512,hop0,42,full,Token Accuracy
520,0.9178032875061035,hop0,42,full,Token Accuracy
530,0.910891592502594,hop0,42,full,Token Accuracy
540,0.9179023504257202,hop0,42,full,Token Accuracy
550,0.9156543016433716,hop0,42,full,Token Accuracy
560,0.9101795554161072,hop0,42,full,Token Accuracy
570,0.9154411554336548,hop0,42,full,Token Accuracy
580,0.9141337871551514,hop0,42,full,Token Accuracy
590,0.9199816584587097,hop0,42,full,Token Accuracy
600,0.9105541110038757,hop0,42,full,Token Accuracy
610,0.9107725620269775,hop0,42,full,Token Accuracy
620,0.9158465266227722,hop0,42,full,Token Accuracy
630,0.9179673194885254,hop0,42,full,Token Accuracy
640,0.9167543053627014,hop0,42,full,Token Accuracy
650,0.9193337559700012,hop0,42,full,Token Accuracy
660,0.9196884632110596,hop0,42,full,Token Accuracy
668,0.9244990944862366,hop0,42,full,Token Accuracy
10,1.184000015258789,hop0,42,dpoints,Train Loss
20,1.1455999612808228,hop0,42,dpoints,Train Loss
30,0.9941999912261963,hop0,42,dpoints,Train Loss
40,0.9189000129699707,hop0,42,dpoints,Train Loss
50,0.9229000210762024,hop0,42,dpoints,Train Loss
60,0.9315000176429749,hop0,42,dpoints,Train Loss
70,0.9067999720573425,hop0,42,dpoints,Train Loss
80,0.9096999764442444,hop0,42,dpoints,Train Loss
90,0.9215999841690063,hop0,42,dpoints,Train Loss
100,0.8676999807357788,hop0,42,dpoints,Train Loss
110,0.9083999991416931,hop0,42,dpoints,Train Loss
120,0.8075000047683716,hop0,42,dpoints,Train Loss
130,0.8127999901771545,hop0,42,dpoints,Train Loss
140,0.7379000186920166,hop0,42,dpoints,Train Loss
150,0.5264000296592712,hop0,42,dpoints,Train Loss
160,0.4553000032901764,hop0,42,dpoints,Train Loss
170,0.4731000065803528,hop0,42,dpoints,Train Loss
180,0.4794999957084656,hop0,42,dpoints,Train Loss
190,0.5134000182151794,hop0,42,dpoints,Train Loss
200,0.4828999936580658,hop0,42,dpoints,Train Loss
210,0.4643000066280365,hop0,42,dpoints,Train Loss
220,0.4632999897003174,hop0,42,dpoints,Train Loss
230,0.4408000111579895,hop0,42,dpoints,Train Loss
240,0.4643000066280365,hop0,42,dpoints,Train Loss
250,0.4408000111579895,hop0,42,dpoints,Train Loss
260,0.48190000653266907,hop0,42,dpoints,Train Loss
270,0.461899995803833,hop0,42,dpoints,Train Loss
280,0.3077000081539154,hop0,42,dpoints,Train Loss
290,0.1388999968767166,hop0,42,dpoints,Train Loss
300,0.13279999792575836,hop0,42,dpoints,Train Loss
310,0.17720000445842743,hop0,42,dpoints,Train Loss
320,0.1573999971151352,hop0,42,dpoints,Train Loss
330,0.1835000067949295,hop0,42,dpoints,Train Loss
340,0.15330000221729279,hop0,42,dpoints,Train Loss
350,0.14149999618530273,hop0,42,dpoints,Train Loss
360,0.18000000715255737,hop0,42,dpoints,Train Loss
370,0.13369999825954437,hop0,42,dpoints,Train Loss
380,0.147599995136261,hop0,42,dpoints,Train Loss
390,0.1501999944448471,hop0,42,dpoints,Train Loss
400,0.1298999935388565,hop0,42,dpoints,Train Loss
410,0.14159999787807465,hop0,42,dpoints,Train Loss
420,0.04749999940395355,hop0,42,dpoints,Train Loss
430,0.04039999842643738,hop0,42,dpoints,Train Loss
440,0.04769999906420708,hop0,42,dpoints,Train Loss
450,0.041200000792741776,hop0,42,dpoints,Train Loss
460,0.03999999910593033,hop0,42,dpoints,Train Loss
470,0.028999999165534973,hop0,42,dpoints,Train Loss
480,0.0414000004529953,hop0,42,dpoints,Train Loss
490,0.03500000014901161,hop0,42,dpoints,Train Loss
500,0.031199999153614044,hop0,42,dpoints,Train Loss
510,0.032999999821186066,hop0,42,dpoints,Train Loss
520,0.02630000002682209,hop0,42,dpoints,Train Loss
530,0.06610000133514404,hop0,42,dpoints,Train Loss
540,0.028200000524520874,hop0,42,dpoints,Train Loss
548,0.4000259041786194,hop0,42,dpoints,Train Loss (final)
10,0.00019852670084219426,hop0,42,dpoints,Learning Rate
20,0.00019484346557874233,hop0,42,dpoints,Learning Rate
30,0.00019116021576337516,hop0,42,dpoints,Learning Rate
40,0.00018747698049992323,hop0,42,dpoints,Learning Rate
50,0.0001837937452364713,hop0,42,dpoints,Learning Rate
60,0.00018011049542110413,hop0,42,dpoints,Learning Rate
70,0.0001764272601576522,hop0,42,dpoints,Learning Rate
80,0.00017274401034228504,hop0,42,dpoints,Learning Rate
90,0.0001690607750788331,hop0,42,dpoints,Learning Rate
100,0.00016537752526346594,hop0,42,dpoints,Learning Rate
110,0.000161694290000014,hop0,42,dpoints,Learning Rate
120,0.00015801105473656207,hop0,42,dpoints,Learning Rate
130,0.0001543278049211949,hop0,42,dpoints,Learning Rate
140,0.00015064456965774298,hop0,42,dpoints,Learning Rate
150,0.00014696131984237581,hop0,42,dpoints,Learning Rate
160,0.00014327808457892388,hop0,42,dpoints,Learning Rate
170,0.00013959484931547195,hop0,42,dpoints,Learning Rate
180,0.00013591159950010478,hop0,42,dpoints,Learning Rate
190,0.00013222836423665285,hop0,42,dpoints,Learning Rate
200,0.0001285451144212857,hop0,42,dpoints,Learning Rate
210,0.00012486187915783376,hop0,42,dpoints,Learning Rate
220,0.00012117863661842421,hop0,42,dpoints,Learning Rate
230,0.00011749539407901466,hop0,42,dpoints,Learning Rate
240,0.00011381215153960511,hop0,42,dpoints,Learning Rate
250,0.00011012891627615318,hop0,42,dpoints,Learning Rate
260,0.00010644567373674363,hop0,42,dpoints,Learning Rate
270,0.00010276243119733408,hop0,42,dpoints,Learning Rate
280,9.907918865792453e-05,hop0,42,dpoints,Learning Rate
290,9.539594611851498e-05,hop0,42,dpoints,Learning Rate
300,9.171270357910544e-05,hop0,42,dpoints,Learning Rate
310,8.80294683156535e-05,hop0,42,dpoints,Learning Rate
320,8.434622577624395e-05,hop0,42,dpoints,Learning Rate
330,8.066298323683441e-05,hop0,42,dpoints,Learning Rate
340,7.697974069742486e-05,hop0,42,dpoints,Learning Rate
350,7.329649815801531e-05,hop0,42,dpoints,Learning Rate
360,6.961326289456338e-05,hop0,42,dpoints,Learning Rate
370,6.593002035515383e-05,hop0,42,dpoints,Learning Rate
380,6.224677781574428e-05,hop0,42,dpoints,Learning Rate
390,5.856353527633473e-05,hop0,42,dpoints,Learning Rate
400,5.488029637490399e-05,hop0,42,dpoints,Learning Rate
410,5.1197053835494444e-05,hop0,42,dpoints,Learning Rate
420,4.7513811296084896e-05,hop0,42,dpoints,Learning Rate
430,4.3830572394654155e-05,hop0,42,dpoints,Learning Rate
440,4.014732985524461e-05,hop0,42,dpoints,Learning Rate
450,3.646408731583506e-05,hop0,42,dpoints,Learning Rate
460,3.278084841440432e-05,hop0,42,dpoints,Learning Rate
470,2.909760587499477e-05,hop0,42,dpoints,Learning Rate
480,2.5414365154574625e-05,hop0,42,dpoints,Learning Rate
490,2.1731122615165077e-05,hop0,42,dpoints,Learning Rate
500,1.8047881894744933e-05,hop0,42,dpoints,Learning Rate
510,1.4364641174324788e-05,hop0,42,dpoints,Learning Rate
520,1.0681399544409942e-05,hop0,42,dpoints,Learning Rate
530,6.9981583692424465e-06,hop0,42,dpoints,Learning Rate
540,3.314917194074951e-06,hop0,42,dpoints,Learning Rate
10,2.7909810543060303,hop0,42,dpoints,Grad Norm
20,2.259192943572998,hop0,42,dpoints,Grad Norm
30,2.6432175636291504,hop0,42,dpoints,Grad Norm
40,2.9129550457000732,hop0,42,dpoints,Grad Norm
50,2.9265785217285156,hop0,42,dpoints,Grad Norm
60,2.6099700927734375,hop0,42,dpoints,Grad Norm
70,2.6766319274902344,hop0,42,dpoints,Grad Norm
80,2.4652822017669678,hop0,42,dpoints,Grad Norm
90,2.8071248531341553,hop0,42,dpoints,Grad Norm
100,3.2805819511413574,hop0,42,dpoints,Grad Norm
110,3.0555779933929443,hop0,42,dpoints,Grad Norm
120,2.8854634761810303,hop0,42,dpoints,Grad Norm
130,3.102389097213745,hop0,42,dpoints,Grad Norm
140,2.1340224742889404,hop0,42,dpoints,Grad Norm
150,3.491030693054199,hop0,42,dpoints,Grad Norm
160,3.9187076091766357,hop0,42,dpoints,Grad Norm
170,3.3376452922821045,hop0,42,dpoints,Grad Norm
180,4.126678466796875,hop0,42,dpoints,Grad Norm
190,3.590182065963745,hop0,42,dpoints,Grad Norm
200,3.748156785964966,hop0,42,dpoints,Grad Norm
210,3.9073753356933594,hop0,42,dpoints,Grad Norm
220,3.1049067974090576,hop0,42,dpoints,Grad Norm
230,5.0069379806518555,hop0,42,dpoints,Grad Norm
240,4.336766242980957,hop0,42,dpoints,Grad Norm
250,3.2013986110687256,hop0,42,dpoints,Grad Norm
260,4.128852367401123,hop0,42,dpoints,Grad Norm
270,4.012527942657471,hop0,42,dpoints,Grad Norm
280,1.7031129598617554,hop0,42,dpoints,Grad Norm
290,2.5281362533569336,hop0,42,dpoints,Grad Norm
300,4.078692436218262,hop0,42,dpoints,Grad Norm
310,3.2999887466430664,hop0,42,dpoints,Grad Norm
320,3.2228803634643555,hop0,42,dpoints,Grad Norm
330,3.384540319442749,hop0,42,dpoints,Grad Norm
340,2.7678940296173096,hop0,42,dpoints,Grad Norm
350,2.057800531387329,hop0,42,dpoints,Grad Norm
360,3.727722644805908,hop0,42,dpoints,Grad Norm
370,3.0434799194335938,hop0,42,dpoints,Grad Norm
380,4.228883743286133,hop0,42,dpoints,Grad Norm
390,3.292494535446167,hop0,42,dpoints,Grad Norm
400,2.8428263664245605,hop0,42,dpoints,Grad Norm
410,3.560760974884033,hop0,42,dpoints,Grad Norm
420,1.4948928356170654,hop0,42,dpoints,Grad Norm
430,1.648987054824829,hop0,42,dpoints,Grad Norm
440,3.4045684337615967,hop0,42,dpoints,Grad Norm
450,1.7317544221878052,hop0,42,dpoints,Grad Norm
460,1.5698566436767578,hop0,42,dpoints,Grad Norm
470,2.1593563556671143,hop0,42,dpoints,Grad Norm
480,2.1986677646636963,hop0,42,dpoints,Grad Norm
490,1.9864555597305298,hop0,42,dpoints,Grad Norm
500,1.643282413482666,hop0,42,dpoints,Grad Norm
510,1.6626763343811035,hop0,42,dpoints,Grad Norm
520,1.85370671749115,hop0,42,dpoints,Grad Norm
530,1.6918240785598755,hop0,42,dpoints,Grad Norm
540,1.9136286973953247,hop0,42,dpoints,Grad Norm
10,0.5503897666931152,hop0,42,dpoints,Token Accuracy
20,0.5232574343681335,hop0,42,dpoints,Token Accuracy
30,0.5759007334709167,hop0,42,dpoints,Token Accuracy
40,0.605970025062561,hop0,42,dpoints,Token Accuracy
50,0.5755800008773804,hop0,42,dpoints,Token Accuracy
60,0.5927265286445618,hop0,42,dpoints,Token Accuracy
70,0.596344530582428,hop0,42,dpoints,Token Accuracy
80,0.600701093673706,hop0,42,dpoints,Token Accuracy
90,0.6010710597038269,hop0,42,dpoints,Token Accuracy
100,0.587724506855011,hop0,42,dpoints,Token Accuracy
110,0.5907700657844543,hop0,42,dpoints,Token Accuracy
120,0.6367301940917969,hop0,42,dpoints,Token Accuracy
130,0.6349130272865295,hop0,42,dpoints,Token Accuracy
140,0.6746567487716675,hop0,42,dpoints,Token Accuracy
150,0.7801886796951294,hop0,42,dpoints,Token Accuracy
160,0.8321327567100525,hop0,42,dpoints,Token Accuracy
170,0.8095746040344238,hop0,42,dpoints,Token Accuracy
180,0.8007022142410278,hop0,42,dpoints,Token Accuracy
190,0.788703978061676,hop0,42,dpoints,Token Accuracy
200,0.808106005191803,hop0,42,dpoints,Token Accuracy
210,0.8095661401748657,hop0,42,dpoints,Token Accuracy
220,0.8073293566703796,hop0,42,dpoints,Token Accuracy
230,0.8246017694473267,hop0,42,dpoints,Token Accuracy
240,0.8065809607505798,hop0,42,dpoints,Token Accuracy
250,0.8309406042098999,hop0,42,dpoints,Token Accuracy
260,0.7911961078643799,hop0,42,dpoints,Token Accuracy
270,0.8063904047012329,hop0,42,dpoints,Token Accuracy
280,0.8974844813346863,hop0,42,dpoints,Token Accuracy
290,0.9681439995765686,hop0,42,dpoints,Token Accuracy
300,0.9534325003623962,hop0,42,dpoints,Token Accuracy
310,0.9366517066955566,hop0,42,dpoints,Token Accuracy
320,0.9396060109138489,hop0,42,dpoints,Token Accuracy
330,0.9333715438842773,hop0,42,dpoints,Token Accuracy
340,0.9477084279060364,hop0,42,dpoints,Token Accuracy
350,0.947600245475769,hop0,42,dpoints,Token Accuracy
360,0.9542410373687744,hop0,42,dpoints,Token Accuracy
370,0.9569190740585327,hop0,42,dpoints,Token Accuracy
380,0.9456395506858826,hop0,42,dpoints,Token Accuracy
390,0.9466679096221924,hop0,42,dpoints,Token Accuracy
400,0.9530903100967407,hop0,42,dpoints,Token Accuracy
410,0.9435129165649414,hop0,42,dpoints,Token Accuracy
420,0.9885426759719849,hop0,42,dpoints,Token Accuracy
430,0.9903086423873901,hop0,42,dpoints,Token Accuracy
440,0.988847553730011,hop0,42,dpoints,Token Accuracy
450,0.992002546787262,hop0,42,dpoints,Token Accuracy
460,0.991062581539154,hop0,42,dpoints,Token Accuracy
470,0.9954514503479004,hop0,42,dpoints,Token Accuracy
480,0.989822506904602,hop0,42,dpoints,Token Accuracy
490,0.991746187210083,hop0,42,dpoints,Token Accuracy
500,0.9941033124923706,hop0,42,dpoints,Token Accuracy
510,0.9936196804046631,hop0,42,dpoints,Token Accuracy
520,0.993864893913269,hop0,42,dpoints,Token Accuracy
530,0.9873962998390198,hop0,42,dpoints,Token Accuracy
540,0.9948763847351074,hop0,42,dpoints,Token Accuracy
548,0.9935683012008667,hop0,42,dpoints,Token Accuracy
10,0.7831000089645386,hop0,42,dpoints-inv,Train Loss
20,0.4140999913215637,hop0,42,dpoints-inv,Train Loss
30,0.40380001068115234,hop0,42,dpoints-inv,Train Loss
40,0.3828999996185303,hop0,42,dpoints-inv,Train Loss
50,0.3815999925136566,hop0,42,dpoints-inv,Train Loss
60,0.39500001072883606,hop0,42,dpoints-inv,Train Loss
70,0.3840999901294708,hop0,42,dpoints-inv,Train Loss
80,0.3732999861240387,hop0,42,dpoints-inv,Train Loss
90,0.3822000026702881,hop0,42,dpoints-inv,Train Loss
100,0.38040000200271606,hop0,42,dpoints-inv,Train Loss
110,0.36730000376701355,hop0,42,dpoints-inv,Train Loss
120,0.38280001282691956,hop0,42,dpoints-inv,Train Loss
130,0.37450000643730164,hop0,42,dpoints-inv,Train Loss
140,0.3537999987602234,hop0,42,dpoints-inv,Train Loss
150,0.34310001134872437,hop0,42,dpoints-inv,Train Loss
160,0.33869999647140503,hop0,42,dpoints-inv,Train Loss
170,0.351500004529953,hop0,42,dpoints-inv,Train Loss
180,0.3472999930381775,hop0,42,dpoints-inv,Train Loss
